Strain,Stress_MPa
0.03254899978637695,419.246225
0.03346282243728638,426.98225
0.03438604354858398,435.05245
0.03531835556030274,443.4203
0.03621448040008545,451.406
0.036710691452026364,455.8203
0.03766440868377686,464.2779
0.038626275062561034,472.7158
0.039595978260040285,481.17135
0.04057324409484863,489.44705
0.041041173934936524,493.4413
0.0420290470123291,501.3606
0.04307125091552735,509.80205
0.044072017669677735,518.0753
0.04455094337463379,522.78975
0.045560970306396484,530.235
0.04662473201751709,539.29375
0.04764537811279297,547.059
0.048663911819458006,555.9006
0.049202775955200194,559.5579
0.0502339506149292,567.4963
0.05130795478820801,573.88045
0.05236281871795654,580.4387
0.053434619903564455,586.7977
0.053964366912841795,589.5828
0.05505521297454834,595.70715
0.05613158226013184,600.90645
0.057218255996704104,605.14615
0.05831289291381836,596.9519
0.05887969493865967,598.46705
0.05997040271759033,592.678
0.06105541229248047,592.3366
0.06214052677154541,595.7585
0.06270649433135986,596.2906
0.06383882522583008,614.34515
0.06492627143859864,627.71715
0.06605905055999756,643.0285
0.06714361190795898,651.6408
0.06770843505859375,656.5993
0.06883560180664063,664.9195
0.06997089385986328,668.56275
0.0711014461517334,667.3833
0.0721968650817871,680.8604
0.07275753021240235,681.77705
0.07388891220092773,694.05005
0.07503079414367676,700.9443
0.07616314888000489,704.6108
0.07725054740905762,711.5182
0.07781291007995605,711.2402
0.07897861480712891,710.3566
0.08005976676940918,717.47175
0.08121028900146485,711.1279
0.08177253723144531,707.79735
0.0828823471069336,695.95985
0.08399890899658204,687.02645
0.08509525299072265,683.71795
0.0862458610534668,673.51325
0.08679054260253906,669.204
0.08787099838256836,662.91035
0.0889852237701416,666.62245
0.0900809669494629,664.70645
0.09120317459106446,670.78995
0.09171489715576171,672.44385
0.09280997276306152,681.392
0.09390766143798829,691.8853
0.09498903274536133,697.66095
0.0960568618774414,707.66095
0.09660554885864257,716.64795
0.09765629768371582,722.7094
0.09873200416564941,730.6323
0.09978950500488282,734.8383
0.10030805587768554,741.897
0.10137332916259766,745.2042
0.10241955757141114,744.8731
0.1034521770477295,752.1383
0.10445804595947265,761.9373
0.10497076034545899,764.0956
0.10598978996276856,768.7325
0.10698972702026367,770.37515
0.10797638893127441,772.77
0.10899479866027832,767.98835
0.10947824478149414,772.69925
0.1104362392425537,771.43275
0.1114276123046875,780.9455
0.11236706733703614,788.15655
0.11333316802978516,794.0161
0.11379590034484863,794.232
0.11474214553833008,796.3864
0.11568085670471191,793.32755
0.1165774917602539,802.34335
0.11702414512634278,799.4184
0.11793876647949218,804.4257
0.11884447097778321,801.3689
0.11972523689270019,801.9582
0.12057130813598632,796.9067
0.12100326538085937,797.67045
0.12184602737426758,797.2149
0.12269407272338867,800.45255
0.12351758003234864,793.64295
0.12434890747070312,789.46825
0.12474401473999024,784.8791
0.12554868698120117,783.72645
0.12632568359375,786.13825
0.1271280288696289,782.34865
0.12788275718688966,777.02025
